"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/apps/users/login/",1000,0,2500,3630,251,13527,1131,10.27,0.00,2500,4800,5900,6500,8100,9400,11000,11000,14000,14000,14000,14000
"POST","/apps/users/setpresence/",3043,383,13000,19444,238,50537,0,31.26,3.93,13000,19000,29000,35000,50000,50000,50000,50000,50000,51000,51000,51000
"None","Aggregated",4043,383,10000,15533,238,50537,279,41.53,3.93,10000,15000,20000,27000,48000,50000,50000,50000,50000,51000,51000,51000
