"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"POST","/apps/users/login/",1000,0,5600,9477,306,33857,1131,7.58,0.00,5700,14000,17000,19000,22000,26000,30000,31000,34000,34000,34000,34000
"POST","/apps/users/setpresence/",4708,425,9500,16942,328,50293,0,35.69,3.22,9500,20000,28000,33000,46000,50000,50000,50000,50000,50000,50000,50000
"None","Aggregated",5708,425,9100,15634,306,50293,198,43.27,3.22,9100,18000,24000,29000,42000,50000,50000,50000,50000,50000,50000,50000
